sn,client_id,software_type,product_model
KJ2107161111,1,2,AMXH4U24SE04-D1FRG8UJU9
KJ21061810001,1,1,AMAH2U12DE46-E7E23U2S54N8
KJ21011310006,1,4,AMAH2U7DE46-E7E46U2S2EN9G22-A
KJ21012610001,1,6,AMXH4U7QE02-E6E45U5S29G81
KJ21012910041,1,5,AMXH4U24SE04-D1E11U2S40
KJ2020100610101,1,2,AMXH4U24SE04-D1FRG8UJU9
KJ2020100610102,1,1,AMXH4U7QE02-E6E45U5S29G81
KJ2020100610103,1,6,AMXH4U7QE02-E6E45U5S29G81
KJ2020100610104,1,5,AMXH4U24SE04-D1E11U2S40
KJ2020100610105,1,4,AMXH4U24SE04-D1E11U2S40
KJ2020100610106,1,4,AMXH4U24SE04-D1E11U2S40
KJ2020100610107,1,4,AMXH4U24SE04-D1E11U2S40